Team,Season,Wins,Losses,ORtg,DRtg,Pace,SRS,eFG_Pct,eFG_Pct_Allowed,TOV_Pct,TOV_Pct_Allowed,ORB_Pct,DRB_Pct,FT_Rate
Boston Celtics*,2024,64.0,18.0,123.2,111.6,97.2,10.75,0.578,0.523,0.10800000000000001,0.10800000000000001,0.249,0.763,0.18
Oklahoma City Thunder*,2024,57.0,25.0,119.5,112.1,99.8,7.36,0.573,0.53,0.114,0.136,0.21100000000000002,0.738,0.198
Minnesota Timberwolves*,2024,56.0,26.0,115.6,109.0,97.1,6.39,0.559,0.515,0.13,0.129,0.23199999999999998,0.769,0.209
Denver Nuggets*,2024,57.0,25.0,118.5,113.0,96.8,5.23,0.562,0.526,0.115,0.11199999999999999,0.255,0.7559999999999999,0.17
New York Knicks*,2024,50.0,32.0,118.2,113.4,95.2,4.36,0.54,0.543,0.11900000000000001,0.12300000000000001,0.294,0.7609999999999999,0.192
New Orleans Pelicans*,2024,49.0,33.0,117.4,112.9,97.9,4.46,0.558,0.541,0.11800000000000001,0.129,0.244,0.769,0.202
Los Angeles Clippers*,2024,51.0,31.0,118.8,115.4,97.2,3.41,0.561,0.541,0.12,0.11699999999999999,0.244,0.748,0.211
Philadelphia 76ers*,2024,47.0,35.0,116.9,113.8,97.5,2.51,0.532,0.537,0.107,0.131,0.248,0.743,0.218
Phoenix Suns*,2024,49.0,33.0,117.6,114.6,98.3,3.08,0.565,0.536,0.134,0.113,0.25,0.7559999999999999,0.219
Indiana Pacers*,2024,47.0,35.0,121.0,118.0,101.7,2.75,0.578,0.556,0.113,0.121,0.23800000000000002,0.741,0.173
Golden State Warriors,2024,46.0,36.0,117.8,115.2,99.2,2.77,0.557,0.539,0.125,0.115,0.275,0.7609999999999999,0.171
Milwaukee Bucks*,2024,49.0,33.0,118.4,115.8,99.9,2.44,0.568,0.539,0.115,0.106,0.218,0.772,0.209
Cleveland Cavaliers*,2024,48.0,34.0,115.2,112.7,97.2,1.98,0.557,0.535,0.124,0.12300000000000001,0.23199999999999998,0.769,0.179
Dallas Mavericks*,2024,50.0,32.0,117.6,115.4,100.1,2.3,0.562,0.548,0.11199999999999999,0.121,0.222,0.752,0.19
Orlando Magic*,2024,47.0,35.0,113.4,111.3,96.9,1.48,0.541,0.543,0.133,0.138,0.253,0.7809999999999999,0.218
Miami Heat*,2024,46.0,36.0,114.0,112.2,96.2,1.1,0.538,0.543,0.11699999999999999,0.127,0.218,0.7809999999999999,0.21
Sacramento Kings,2024,46.0,36.0,116.9,115.2,98.8,2.29,0.556,0.555,0.11599999999999999,0.125,0.245,0.784,0.171
Houston Rockets,2024,41.0,41.0,114.5,113.4,99.0,1.24,0.529,0.533,0.11199999999999999,0.122,0.251,0.76,0.199
Los Angeles Lakers*,2024,47.0,35.0,115.9,115.3,100.9,1.07,0.566,0.55,0.125,0.11699999999999999,0.19899999999999998,0.762,0.216
Chicago Bulls,2024,39.0,43.0,114.9,116.3,96.3,-1.77,0.534,0.556,0.11,0.127,0.251,0.764,0.187
Atlanta Hawks,2024,36.0,46.0,117.2,119.4,100.1,-2.38,0.539,0.572,0.11599999999999999,0.124,0.271,0.752,0.2
Brooklyn Nets,2024,32.0,50.0,113.2,116.1,96.9,-3.02,0.531,0.543,0.11800000000000001,0.114,0.252,0.76,0.177
Utah Jazz,2024,31.0,51.0,115.5,120.4,99.5,-4.22,0.539,0.567,0.136,0.109,0.281,0.752,0.209
San Antonio Spurs,2024,22.0,60.0,110.0,116.4,101.1,-5.8,0.532,0.555,0.132,0.11699999999999999,0.22899999999999998,0.764,0.172
Toronto Raptors,2024,25.0,57.0,112.3,118.8,99.4,-6.45,0.535,0.566,0.124,0.122,0.242,0.7390000000000001,0.182
Memphis Grizzlies,2024,27.0,55.0,107.2,114.3,98.2,-6.57,0.509,0.551,0.134,0.135,0.23800000000000002,0.748,0.182
Detroit Pistons,2024,14.0,68.0,109.7,118.8,99.8,-9.06,0.526,0.558,0.135,0.111,0.239,0.773,0.193
Washington Wizards,2024,15.0,67.0,110.5,119.6,102.7,-9.29,0.538,0.562,0.122,0.12,0.2,0.725,0.169
Portland Trail Blazers,2024,21.0,61.0,108.3,117.5,97.2,-8.29,0.503,0.558,0.134,0.128,0.275,0.74,0.181
Charlotte Hornets,2024,21.0,61.0,109.3,119.8,97.3,-10.12,0.529,0.572,0.126,0.12300000000000001,0.21100000000000002,0.745,0.167
Oklahoma City Thunder,2025,35.0,7.0,116.8,103.9,99.7,12.84,0.549,0.5,0.10800000000000001,0.162,0.22699999999999998,0.736,0.17
Cleveland Cavaliers,2025,36.0,6.0,121.8,111.4,100.2,8.93,0.588,0.533,0.11599999999999999,0.132,0.23399999999999999,0.764,0.185
Boston Celtics,2025,30.0,13.0,120.0,110.2,97.1,8.76,0.557,0.522,0.106,0.122,0.248,0.764,0.181
Memphis Grizzlies,2025,28.0,15.0,117.4,109.6,104.8,7.13,0.559,0.522,0.139,0.13699999999999998,0.289,0.7490000000000001,0.203
New York Knicks,2025,28.0,16.0,120.5,114.3,96.7,4.48,0.57,0.548,0.12,0.127,0.259,0.757,0.195
Houston Rockets,2025,28.0,14.0,114.3,108.3,98.9,6.28,0.513,0.522,0.11599999999999999,0.139,0.312,0.759,0.187
Denver Nuggets,2025,26.0,16.0,118.3,113.8,100.5,4.96,0.567,0.535,0.125,0.11900000000000001,0.258,0.7509999999999999,0.206
Dallas Mavericks,2025,23.0,20.0,115.9,112.5,99.1,3.51,0.551,0.525,0.127,0.12300000000000001,0.251,0.736,0.206
Milwaukee Bucks,2025,24.0,17.0,114.3,111.4,99.4,1.85,0.565,0.528,0.127,0.11900000000000001,0.19699999999999998,0.775,0.188
Los Angeles Clippers,2025,24.0,18.0,111.1,108.3,98.3,3.33,0.54,0.527,0.145,0.141,0.243,0.769,0.196
Sacramento Kings,2025,22.0,20.0,116.0,113.3,99.3,2.06,0.544,0.544,0.11599999999999999,0.133,0.245,0.777,0.194
Minnesota Timberwolves,2025,22.0,21.0,112.9,110.9,96.9,2.55,0.548,0.525,0.141,0.131,0.247,0.746,0.187
Miami Heat,2025,21.0,20.0,113.2,112.0,97.0,0.52,0.54,0.538,0.12300000000000001,0.13,0.213,0.754,0.2
Indiana Pacers,2025,24.0,19.0,115.2,114.6,99.5,0.26,0.561,0.544,0.125,0.126,0.212,0.75,0.186
Orlando Magic,2025,23.0,21.0,108.0,108.2,96.4,-0.18,0.506,0.539,0.134,0.157,0.253,0.7809999999999999,0.205
Golden State Warriors,2025,21.0,21.0,111.6,112.0,99.0,0.69,0.528,0.535,0.125,0.132,0.27,0.758,0.155
Detroit Pistons,2025,22.0,21.0,112.4,113.4,98.8,-1.25,0.543,0.547,0.14,0.13,0.259,0.77,0.174
San Antonio Spurs,2025,19.0,22.0,112.5,113.9,98.8,-1.33,0.533,0.533,0.128,0.115,0.24600000000000002,0.745,0.192
Phoenix Suns,2025,21.0,21.0,115.2,117.0,97.4,-2.39,0.556,0.54,0.128,0.113,0.217,0.736,0.211
Atlanta Hawks,2025,22.0,20.0,112.6,114.5,103.2,-2.16,0.534,0.557,0.135,0.142,0.267,0.754,0.201
Los Angeles Lakers,2025,22.0,18.0,113.8,116.5,97.5,-2.38,0.543,0.555,0.12300000000000001,0.126,0.221,0.74,0.214
Chicago Bulls,2025,19.0,25.0,112.9,115.7,103.5,-3.14,0.554,0.54,0.13,0.107,0.213,0.765,0.161
Philadelphia 76ers,2025,15.0,26.0,110.3,114.5,96.5,-4.27,0.521,0.564,0.127,0.153,0.228,0.741,0.217
Charlotte Hornets,2025,11.0,28.0,108.5,114.0,97.9,-5.22,0.509,0.542,0.138,0.128,0.28,0.759,0.17
Utah Jazz,2025,10.0,31.0,111.9,118.7,99.0,-6.73,0.536,0.555,0.154,0.106,0.278,0.747,0.207
Brooklyn Nets,2025,14.0,29.0,109.4,116.9,96.8,-6.67,0.528,0.571,0.142,0.13699999999999998,0.22699999999999998,0.765,0.196
Toronto Raptors,2025,10.0,32.0,110.9,118.5,99.3,-5.58,0.531,0.555,0.139,0.125,0.27699999999999997,0.732,0.173
New Orleans Pelicans,2025,12.0,32.0,109.8,117.9,99.0,-7.71,0.511,0.557,0.126,0.131,0.267,0.7190000000000001,0.185
Portland Trail Blazers,2025,14.0,28.0,108.8,117.7,99.1,-8.18,0.515,0.557,0.14400000000000002,0.134,0.276,0.718,0.177
Washington Wizards,2025,6.0,35.0,106.2,120.1,102.0,-12.0,0.512,0.555,0.14,0.114,0.231,0.723,0.177
